comparison,metric,scope,n_favouring_G30_lower,n_favouring_P30_lower,n_blocks,mean_diff,median_diff,sd_diff,bootstrap_ci,paired_effect_size,n_favouring_F30_lower
G30_vs_F30,slo_violation_rate,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,2,,9,-0.0319,0.0,0.1836,"{'mean': -0.0319, 'ci_low': -0.1489, 'ci_high': 0.0771, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",-0.1739,1.0
G30_vs_P30,replica_seconds,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,0,9.0,9,133.3333,130.0,65.9545,"{'mean': 133.3333, 'ci_low': 94.4444, 'ci_high': 175.5556, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",2.0216,
G30_vs_F30,replica_seconds,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,1,,9,85.0,60.0,80.4674,"{'mean': 85.0, 'ci_low': 35.5556, 'ci_high': 133.3333, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",1.0563,8.0
G30_vs_P30,scale_changes,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,0,2.0,9,0.2222,0.0,0.441,"{'mean': 0.2222, 'ci_low': 0, 'ci_high': 0.5556, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",0.504,
G30_vs_F30,scale_changes,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,2,,9,-0.1111,0.0,0.928,"{'mean': -0.1111, 'ci_low': -0.6667, 'ci_high': 0.4444, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",-0.1197,2.0
G30_vs_P30,time_at_max_replicas_frac,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,1,8.0,9,0.0401,0.0461,0.0298,"{'mean': 0.0401, 'ci_low': 0.0196, 'ci_high': 0.0557, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",1.3427,
G30_vs_F30,time_at_max_replicas_frac,EXCLUDE_BLOCK7_G30_metrics_historical_reexport,0,,9,0.0398,0.0313,0.0299,"{'mean': 0.0398, 'ci_low': 0.023, 'ci_high': 0.0591, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",1.3312,9.0
G30_vs_P30,lat95_mean_ms,EXCLUDE_BOTH_additional_robustness,7,1.0,8,-8.513,-7.2155,7.0852,"{'mean': -8.513, 'ci_low': -13.2696, 'ci_high': -4.1401, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",-1.2015,
G30_vs_F30,lat95_mean_ms,EXCLUDE_BOTH_additional_robustness,7,,8,-34.5586,-5.2,61.6308,"{'mean': -34.5586, 'ci_low': -77.3566, 'ci_high': -3.4442, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",-0.5607,1.0
G30_vs_P30,slo_violation_rate,EXCLUDE_BOTH_additional_robustness,0,0.0,8,0.0,0.0,0.0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",,
G30_vs_F30,slo_violation_rate,EXCLUDE_BOTH_additional_robustness,2,,8,-0.0738,0.0,0.1432,"{'mean': -0.0738, 'ci_low': -0.1745, 'ci_high': 0.0, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",-0.5155,0.0
G30_vs_P30,replica_seconds,EXCLUDE_BOTH_additional_robustness,0,8.0,8,136.25,135.0,69.8851,"{'mean': 136.25, 'ci_low': 92.5, 'ci_high': 182.5, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",1.9496,
G30_vs_F30,replica_seconds,EXCLUDE_BOTH_additional_robustness,1,,8,76.875,60.0,81.9816,"{'mean': 76.875, 'ci_low': 25.0, 'ci_high': 130.0, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",0.9377,7.0
G30_vs_P30,scale_changes,EXCLUDE_BOTH_additional_robustness,0,2.0,8,0.25,0.0,0.4629,"{'mean': 0.25, 'ci_low': 0, 'ci_high': 0.625, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",0.5401,
G30_vs_F30,scale_changes,EXCLUDE_BOTH_additional_robustness,2,,8,-0.125,0.0,0.991,"{'mean': -0.125, 'ci_low': -0.75, 'ci_high': 0.5, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",-0.1261,2.0
G30_vs_P30,time_at_max_replicas_frac,EXCLUDE_BOTH_additional_robustness,1,7.0,8,0.0413,0.0465,0.0316,"{'mean': 0.0413, 'ci_low': 0.0175, 'ci_high': 0.0585, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",1.3071,
G30_vs_F30,time_at_max_replicas_frac,EXCLUDE_BOTH_additional_robustness,0,,8,0.0441,0.0362,0.0288,"{'mean': 0.0441, 'ci_low': 0.0273, 'ci_high': 0.0645, 'ci_level': 0.95, 'n': 8, 'n_resamples': 10000}",1.5324,8.0
