target_rps,observed_rps,p95_ms,p90_ms,max_ms,cpu_milli,cpu_pct,fail_rate,n_reqs
25,24.999748724747818,19.136639999999996,17.4466,180.2088,79,7.9,0,1125
50,49.99885724834045,15.667004999999998,13.134140000000002,23.865,158.6,15.9,0,2250
75,75.00360149476579,11.811925,9.0276,83.0485,155.4,15.5,0,3376
100,99.9979602726655,12.3226,10.1164,53.8501,276.6,27.7,0,4501
125,124.99855110771166,21.65855,10.81815,205.6705,287.2,28.7,0,5626
130,130.00541136692883,305.80190000000005,83.3197,1458.0936,480.2,48.0,0,5851
135,135.00203251825684,16.866475,8.950099999999999,339.7001,405.8,40.6,0,6076
140,139.99644844565455,46.15204999999904,11.088470000000004,263.7802,390.2,39.0,0,6300
145,144.9943162938987,30.965049999999998,11.84855,234.6678,396.4,39.6,0,6526
150,145.48422109327493,3191.1353799999933,1078.8585799999998,4644.7739,464.4,46.4,0,6549
175,174.58441723195108,607.3760049999992,404.90538000000015,1342.2435,435.2,43.5,0,7860
200,190.72780180324148,4410.5301499999305,2385.1554800000004,10449.8027,702.4,70.2,0.3967144355120587,8583
